ticker,hhi_posse,ret_crash,ret_recup,vol_pos_crash,quintil_hhi
CLSC4,0.328356101526374,-0.135064698138127,0.235898764586328,0.116628171125606,5
CMIG3,0.0372653371179166,-0.456456366507946,0.941648166701105,0.0895883819814124,3
CMIG4,0.024112912299771,-0.404013581763327,0.75215403470189,0.095146662621647,2
CNTO3,0.0833338485821335,-0.390114068441064,0.235245220282627,0.156632418586613,4
COCE5,0.0751979064733755,-0.225961608649993,0.297328129212635,0.080709303568371,4
COGN3,0.00988234865594161,-0.655765979194422,0.157500037687839,0.226576423918372,1
CPFE3,0.0181587367260016,-0.297883330799787,0.281293253461081,0.0756735369718103,2
CPLE3,0.103403670673986,-0.256305769100303,0.247308260316132,0.103123489384644,4
CPLE6,0.0182437286473745,-0.271315717788069,0.400747663551402,0.0770811540624794,2
CPRE3,0.112161566187424,-0.0852625635234332,0.125308641975309,0.0188307425955446,4
CRDE3,0.0954608531329184,-0.175839885632595,-0.199190517490604,0.162223964022777,4
CRFB3,0.0223181681533704,-0.0867640548915449,-0.060106640814348,0.0921475725845378,2
CRIV3,0.106633358158077,-0.241776315789473,0.184381778741866,0.0815507469947736,4
CRPG5,0.80665055118446,-0.279215724724833,0.896257926052518,0.137403486443377,5
CSAN3,0.0267259511606042,-0.325470487753022,0.438666200660223,0.143510661507525,2
CSMG3,0.0223048655543907,-0.375114989725252,0.393372693090604,0.125891875629996,2
CSNA3,0.0246993989015608,-0.458914730283101,3.56803951803468,0.10120599617055,2
CTNM4,0.106506586177334,-0.498979617158158,0.224032671212708,0.0810643296594066,4
CVCB3,0.0109204783223974,-0.695890417733476,0.970470041286779,0.229936236639644,1
CYRE3,0.0223747435895824,-0.555660428696575,1.21592072995304,0.144536275359298,2
DIRR3,0.0942278906470237,-0.486519736537926,0.652817627188209,0.228110395836064,4
DMMO3,0.0888711507115296,-0.65934065934066,1.24193548387097,0.502409820335568,4
DTEX3,0.048266444272302,-0.404458598726115,1.04705882352941,0.092916895809869,3
ECOR3,0.0467358497416331,-0.46700510829919,0.414814895163052,0.144700659502187,3
EGIE3,0.043760625103226,-0.252257522058641,0.172631371551646,0.0580834157953108,3
ELET3,0.011055496616491,-0.391636919938807,0.536881810561609,0.114942458826911,1
ELET6,0.0143259096459211,-0.363102520185955,0.421436803688052,0.102672916768324,1
EMBR3,0.0163348425968863,-0.474090407938258,-0.0723270440251577,0.16232336346712,1
ENAT3,0.0743215799039197,-0.438650306748466,0.295081967213114,0.0839189097538167,4
ENBR3,0.0139996728713635,-0.271588366890381,0.207002457002457,0.0508114015588108,1
ENEV3,0.0304003069782054,-0.2053510092897,0.787050315802044,0.0657479453302473,3
ENGI11,0.0555632193321298,-0.319626270201327,0.371717075824036,0.0941664669605765,4
ENGI4,0.138213786454273,-0.377526756186913,0.304641548666277,0.120624631431311,5
EQPA3,0.131078872384306,-0.434426250686015,0.307022116966469,0.0876319982994609,5
EQTL3,0.0114868201331853,-0.261744959507913,0.33298349815414,0.0926743726290378,1
EUCA4,0.208807869078539,-0.398395768208527,0.58222216899289,0.15925089993192,5
EVEN3,0.0204579085932684,-0.634787804506812,1.01030686343406,0.235223265891365,2
EZTC3,0.0521762958113181,-0.465827358169956,0.457275403432928,0.10003033615261,3
FESA4,0.22572544198601,-0.334872011317354,0.546490316035045,0.119335182943653,5
FHER3,0.260789121700909,-0.467391303643612,0.510204071702683,0.152155069930468,5
FLRY3,0.030308293789077,-0.333787867283778,0.334980302880505,0.0416844254440638,2
GFSA3,0.0415101331327634,-0.533169535360046,0.26687902513878,0.166230857171046,3
