ticker,ym,stock_iq,n_fundos
MDIA3,201704,6.49974239137918e-05,523
MEAL3,201704,0.000154377820180076,475
MLFT4,201704,0.000344046847823758,461
MPLU3,201704,-6.40503502712913e-05,498
MRFG3,201704,-3.9522587675401e-05,700
MRVE3,201704,-0.00116241088550608,872
MULT3,201704,-0.00099108514425233,896
MYPK3,201704,-0.000855947645331343,600
NATU3,201704,-8.80096716975623e-05,709
PCAR4,201704,-0.000750233793112649,854
PETR3,201704,-0.000209932817277115,833
PETR4,201704,0.00215401050621037,1066
POMO4,201704,6.64444641415385e-06,538
PSSA3,201704,-2.73897011887847e-05,504
QUAL3,201704,-0.000528667239358535,824
RADL3,201704,-0.0012217365395501,820
RAIL3,201704,0.000426180506405751,873
RAPT3,201704,2.23663048114424e-06,210
RAPT4,201704,-6.55756155382103e-05,509
RENT3,201704,-0.000198491287944698,845
SANB11,201704,-6.03431661270512e-05,792
SAPR4,201704,0.000345058397797349,747
SBSP3,201704,-0.000674446728545736,875
SEER3,201704,-0.000386438894580241,609
SMLE3,201704,-0.000619432898895593,817
SULA11,201704,4.76671229288781e-05,525
SUZB5,201704,-0.000737233523511412,820
TAEE11,201704,-0.000674620768660691,614
TCSA3,201704,5.77127426463635e-06,460
TEND3,201704,-0.000129876093305947,491
TIET11,201704,4.40653649349227e-05,549
TIMP3,201704,-0.00136943444079557,799
TRPL4,201704,-0.00070538509968904,686
TUPY3,201704,-0.00125113326938548,582
UGPA3,201704,0.00056742070944818,914
USIM5,201704,-5.05806894295693e-05,642
VALE3,201704,-0.000227248431880666,841
VALE5,201704,0.000969409618348048,936
VIVT3,201704,0.000148000570666313,524
VIVT4,201704,-0.000621190495321852,890
VLID3,201704,-0.000379079997959378,526
VVAR11,201704,-0.00017993322418914,427
WEGE3,201704,-0.0011140094701419,760
ABCB4,201705,1.35371513987539e-05,439
ABEV3,201705,0.00166001448382934,937
ALSC3,201705,-8.53645018267005e-05,653
ALUP11,201705,-0.000570394098365177,719
BBAS3,201705,0.00103611519210224,958
BBDC3,201705,-0.000817512028219347,709
BBDC4,201705,0.00385976762046578,1075
BBSE3,201705,0.000373697006865245,914
BBTG11,201705,0.000102101891604571,429
BEEF3,201705,-0.000529707807609497,631
BRAP4,201705,0.000727952120439752,902
BRFS3,201705,0.000792183557574634,999
BRKM5,201705,-0.000524694318547892,798
BRML3,201705,0.000547065466102583,997
BRPR3,201705,0.000241506574690385,513
BRSR6,201705,-0.000341759203223352,659
BTOW3,201705,-0.00107037217270342,624
BVMF3,201705,0.00238519663922826,1118
CCRO3,201705,-0.000123920798779945,864
CESP6,201705,-0.00128010944356849,814
CIEL3,201705,0.000231047657863961,944
CLSC4,201705,-0.000157963207676507,251
CMIG3,201705,1.15651889607579e-06,218
CMIG4,201705,-0.0014077687656457,825
CPFE3,201705,0.00220186882903353,831
CPLE3,201705,0.000255659987832148,398
CPLE6,201705,-9.03731312997495e-05,755
CRDE3,201705,-0.000260801636856963,187
CSAN3,201705,-0.000158697512719729,867
CSMG3,201705,-0.000751445856686594,642
CSNA3,201705,-5.9499834491729e-05,689
CVCB3,201705,-0.00026051534764409,918
CYRE3,201705,-0.00125861490224373,790
DIRR3,201705,-1.95427450110658e-05,451
ECOR3,201705,3.02096077478926e-05,761
EGIE3,201705,-0.000481962976514267,715
ELET3,201705,-0.000695303905614676,776
ELET6,201705,-0.00155236695909529,834
ELPL4,201705,1.44632753257882e-06,398
EMBR3,201705,-0.000485588521834469,840
ENBR3,201705,-0.000473914647008007,759
ENGI11,201705,0.000171130593775325,735
EQTL3,201705,0.00167190019270725,1059
ESTC3,201705,-0.000666539313576251,830
EVEN3,201705,-6.54472673906733e-05,404
EZTC3,201705,-0.00119939049379942,651
FIBR3,201705,-0.000595081390953315,879
FLRY3,201705,0.000296192239042622,640
GGBR3,201705,4.09992575888831e-05,482
GGBR4,201705,-0.000855940260962157,865
GOAU4,201705,-0.000996672672659597,829
HGTX3,201705,-0.000676541647795024,627
HYPE3,201705,0.000161344410473664,889
IDNT3,201705,0.000138315391918544,215
IGTA3,201705,-0.00029685868844531,802
ITSA3,201705,-0.000413973507681612,541
ITSA4,201705,0.00234982617462369,1010
ITUB4,201705,0.00409684879745,1097
JBSS3,201705,-0.000325457568958755,785
KLBN11,201705,-0.000683757524709732,886
KROT3,201705,-0.000828911096834568,920
LAME3,201705,-0.000972215271464944,566
LAME4,201705,0.000431587577814366,999
LIGT3,201705,-0.00100373733965946,759
LINX3,201705,0.000160615776174492,567
LREN3,201705,-0.000704431966666543,964
MAGG3,201705,-8.49671119299404e-05,457
MEAL3,201705,0.00015381851544922,480
MILS3,201705,-0.000188635515797279,354
MLFT4,201705,0.00030573277513357,466
MPLU3,201705,-4.17006403764068e-05,499
MRFG3,201705,-0.000141570835585692,729
MRVE3,201705,-0.00126848039870109,844
MULT3,201705,-0.00110388258600323,891
NATU3,201705,2.34872064519425e-05,765
OIBR4,201705,-8.61040450424732e-05,212
PCAR4,201705,-0.000781436610160244,868
PETR3,201705,-3.51713809817466e-05,813
PETR4,201705,0.00341191909032286,1026
POMO4,201705,-0.000586334660773105,541
PSSA3,201705,-8.40207699958687e-05,535
QUAL3,201705,-0.000311484914757635,852
RADL3,201705,-0.000776446823926889,801
RAIL3,201705,-0.00037096912543604,854
RAPT3,201705,4.64630200375189e-06,254
RENT3,201705,-0.00106900418825357,876
SANB11,201705,-0.000437085180205326,757
SAPR4,201705,0.000452777174910423,732
SBSP3,201705,-0.00104940608319612,829
SEER3,201705,-0.000736627870312115,676
SMLE3,201705,-0.000757461023555609,807
SULA11,201705,-2.69944979945304e-05,581
SUZB5,201705,-0.000326520681585853,869
TAEE11,201705,-0.000591095500653146,612
TCSA3,201705,-0.000112688476872431,471
TEND3,201705,0.000238925590839719,502
TGMA3,201705,-0.000117083654658758,327
TIET11,201705,-0.000458650350611439,561
TIMP3,201705,-0.00114979946361966,778
UGPA3,201705,-0.000102395394463598,977
USIM5,201705,-2.46618200458336e-05,613
VALE3,201705,0.00075564141013397,845
VALE5,201705,0.000859552648128659,963
VIVT3,201705,0.000115530451138179,516
VIVT4,201705,0.00014072576021011,900
VLID3,201705,-0.000664350223029651,532
VVAR11,201705,-9.69778771274694e-05,547
WEGE3,201705,-0.00108036249043428,799
ABEV3,201706,0.000945928543718647,883
ALSC3,201706,-0.00122762156577386,622
BBAS3,201706,0.000680359166668634,953
BBDC3,201706,-0.000666423969636506,672
BBDC4,201706,0.00333803923439247,1055
BBRK3,201706,-0.000311482050666887,174
BBSE3,201706,6.08485452739967e-05,874
BEEF3,201706,-0.000664113375102152,649
BRAP4,201706,0.000613330773396841,906
BRFS3,201706,0.00134274914565573,976
BRKM5,201706,-0.000380481296150864,796
BRML3,201706,1.29918171261216e-05,970
BRPR3,201706,-0.000385857515272946,528
BRSR6,201706,-5.98619610472133e-05,657
BTOW3,201706,8.70774102827783e-05,530
BVMF3,201706,0.0033883431758823,1093
CCRO3,201706,-0.000244107158545128,870
CESP6,201706,-0.000880073548668403,778
CIEL3,201706,0.000124505420584522,924
CLSC4,201706,-5.92323094846266e-05,242
CMIG4,201706,-0.000687805027464381,810
CPFE3,201706,0.00214626601023024,809
CPLE3,201706,0.000163752343863016,401
CPLE6,201706,-7.79303897089985e-05,718
CPRE3,201706,0.000261672269737668,442
CRDE3,201706,-0.000271164221095602,187
