sinal,horizonte,n_meses,n_min_grupo_mes,spread_pp,sharpe,t_fm,p_fm,sig_bonferroni
Herding (LSV)|BAIXO-HHI(mediana),6,44,5,0.101946062117236,0.0688711400161807,0.131878192787147,0.895695786968792,FALSE
Herding (LSV)|ALTO-HHI(mediana),6,44,5,0.719955076210893,0.616474067602264,1.18045796710244,0.244307031373034,FALSE
E[FIT] (fluxo esperado)|baseline,1,25,9,0.851750102244349,0.931713278033503,1.34481227970048,0.191257991240072,FALSE
E[FIT] (fluxo esperado)|BAIXO-HHI(tercil),1,25,3,1.60159558608176,1.17260945574193,1.69251596231725,0.103491680208198,FALSE
E[FIT] (fluxo esperado)|ALTO-HHI(tercil),1,25,3,2.67303811266554,2.27475629475082,3.28332789778796,0.00313688908194191,FALSE
E[FIT] (fluxo esperado)|BAIXO-HHI(mediana),1,25,5,2.22151412095024,1.72950915174918,2.49633143582077,0.019815289140433,FALSE
E[FIT] (fluxo esperado)|ALTO-HHI(mediana),1,25,5,0.893800665889753,0.485055157058535,0.700116813748903,0.490585963836193,FALSE
E[FIT] (fluxo esperado)|baseline,3,25,9,0.648484443286445,0.639473986733563,0.923001195950965,0.365193499083835,FALSE
E[FIT] (fluxo esperado)|BAIXO-HHI(tercil),3,25,3,0.473282286219345,0.31528758260784,0.455078426726957,0.653142864415342,FALSE
E[FIT] (fluxo esperado)|ALTO-HHI(tercil),3,25,3,1.1391970707583,0.506951400773628,0.731721319256779,0.471423780354622,FALSE
E[FIT] (fluxo esperado)|BAIXO-HHI(mediana),3,25,5,0.672598892059922,0.483925065144238,0.698485666571582,0.491586903842153,FALSE
E[FIT] (fluxo esperado)|ALTO-HHI(mediana),3,25,5,0.768866812271508,0.407277771376256,0.587854827347581,0.562120857787325,FALSE
E[FIT] (fluxo esperado)|baseline,6,25,9,1.04345932355961,0.685452415879627,0.989365342061955,0.332354864663939,FALSE
E[FIT] (fluxo esperado)|BAIXO-HHI(tercil),6,25,3,0.697545936581962,0.522561085120185,0.754251957905404,0.458035172291011,FALSE
E[FIT] (fluxo esperado)|ALTO-HHI(tercil),6,25,3,2.72414141838166,1.03760134717142,1.49764854275234,0.147262393662536,FALSE
E[FIT] (fluxo esperado)|BAIXO-HHI(mediana),6,25,5,0.255252783104179,0.205751220651446,0.296976306573016,0.76903971011177,FALSE
E[FIT] (fluxo esperado)|ALTO-HHI(mediana),6,25,5,2.00957585782895,0.846292466644588,1.22151795857601,0.233753539151097,FALSE
Reversao curto prazo|baseline,1,62,14,0.767229662513676,0.262395087383018,0.596431979687681,0.553093740295547,FALSE
Reversao curto prazo|BAIXO-HHI(tercil),1,62,5,4.32714195651916,0.611590307992939,1.39016329075387,0.169531316479319,FALSE
Reversao curto prazo|ALTO-HHI(tercil),1,62,5,-0.827389873444121,-0.335161784008118,-0.761832884698107,0.44909531291823,FALSE
Reversao curto prazo|BAIXO-HHI(mediana),1,62,7,2.61976375567655,0.544628959318438,1.23795811743753,0.220475190695084,FALSE
Reversao curto prazo|ALTO-HHI(mediana),1,62,7,-1.08521003853716,-0.532870936615796,-1.21123177576821,0.230478186335152,FALSE
Reversao curto prazo|baseline,3,60,13,-0.143392236591899,-0.0848557101241631,-0.189743136116646,0.850161705067256,FALSE
Reversao curto prazo|BAIXO-HHI(tercil),3,60,5,-0.379437700639139,-0.145202467313461,-0.324682587413591,0.746569743819638,FALSE
Reversao curto prazo|ALTO-HHI(tercil),3,60,4,1.84428648196112,0.851547838548954,1.90411885308848,0.0617746681122125,FALSE
Reversao curto prazo|BAIXO-HHI(mediana),3,60,7,-0.851636422796917,-0.397713350967865,-0.889314088323378,0.37744602624991,FALSE
Reversao curto prazo|ALTO-HHI(mediana),3,60,7,1.00507338904564,0.533395452603341,1.19270849091034,0.237758236768524,FALSE
Reversao curto prazo|baseline,6,58,12,-0.17560532156646,-0.0556957287040874,-0.122446186602183,0.9029763611299,FALSE
Reversao curto prazo|BAIXO-HHI(tercil),6,58,4,-1.64406709532372,-0.551094031194204,-1.21157158994138,0.230675298510711,FALSE
Reversao curto prazo|ALTO-HHI(tercil),6,58,4,-1.58109517700136,-0.994213375511862,-2.18576252313901,0.0329558721605983,FALSE
Reversao curto prazo|BAIXO-HHI(mediana),6,58,6,1.11618011347055,0.191988716496644,0.422084184059459,0.674551378868482,FALSE
Reversao curto prazo|ALTO-HHI(mediana),6,58,6,-1.48941368434107,-0.958173234974845,-2.10652883904789,0.0395724486929632,FALSE
