ticker,ym,tercil_hhi,deg_avg_sub,eigen_cent_sub,n_tickers_subgrupo
TOTS3,201909,1,0.220945066614782,0.544384997190864,73
TRIS3,201909,1,0.141318976053121,0.307814160481344,73
USIM5,201909,1,0.108396338036102,0.245993242372688,73
VALE3,201909,1,0.360407613956582,0.879775522431921,73
VVAR3,201909,1,0.201477269446631,0.45576354983857,73
WEGE3,201909,1,0.174007200398463,0.419411942766861,73
YDUQ3,201909,1,0.185250236031557,0.426245103038746,73
ABEV3,201910,1,0.241855487320186,0.626940938443797,73
ALSO3,201910,1,0.209918994956488,0.53487243888232,73
ARZZ3,201910,1,0.225071844300435,0.548268157033558,73
AZUL4,201910,1,0.304196464325964,0.796370912942735,73
B3SA3,201910,1,0.385519660201982,0.996240815628953,73
BBAS3,201910,1,0.37056385203693,0.921530284195021,73
BBDC3,201910,1,0.242295233396629,0.623147207970653,73
BBDC4,201910,1,0.337109564226304,0.848000881753162,73
BBSE3,201910,1,0.227956194332431,0.588517396090224,73
BEEF3,201910,1,0.110919730361218,0.257209610100744,73
BMGB11,201910,1,0.24818389361831,0.688837048745308,73
BPAC11,201910,1,0.32186433522384,0.855611403546684,73
BPAN4,201910,1,0.151969213969671,0.359397219515188,73
BRDT3,201910,1,0.342878108955166,0.898488595927147,73
BRKM5,201910,1,0.146241816777542,0.352403817865221,73
BTOW3,201910,1,0.238631346765452,0.624973798245627,73
CEAB3,201910,1,0.227680087675554,0.58134373832818,73
CESP6,201910,1,0.291973309346948,0.787218765827743,73
CIEL3,201910,1,0.29843047712055,0.774271953703562,73
COGN3,201910,1,0.257482397204859,0.638341984266361,73
CPFE3,201910,1,0.261135847359213,0.704205003234122,73
CPLE6,201910,1,0.153014502371145,0.357324700898867,73
CRFB3,201910,1,0.13825417019511,0.341866115851801,73
CSAN3,201910,1,0.15583870508004,0.381459453839477,73
CSMG3,201910,1,0.285630408550644,0.750879997065899,73
CSNA3,201910,1,0.124685107326443,0.312577323943585,73
CVCB3,201910,1,0.225062262642949,0.535001660632431,73
CYRE3,201910,1,0.242043135789515,0.609335088848317,73
ELET3,201910,1,0.202108197106528,0.517922270354553,73
ELET6,201910,1,0.24484493267329,0.615419176707323,73
EMBR3,201910,1,0.190025089494042,0.477880674492223,73
ENBR3,201910,1,0.229785691373483,0.576630126080305,73
EQTL3,201910,1,0.22499923528931,0.56422124941431,73
EVEN3,201910,1,0.166749930112974,0.399927302688075,73
GNDI3,201910,1,0.250390921795656,0.615804639176099,73
GOLL4,201910,1,0.207374586200283,0.495548310358535,73
HAPV3,201910,1,0.311314044030075,0.842040131648744,73
HBOR3,201910,1,0.17489365084808,0.433821524275193,73
IGTA3,201910,1,0.201730783422592,0.508501761208213,73
IRBR3,201910,1,0.232333105423147,0.572577259192525,73
ITSA4,201910,1,0.292402486740311,0.743888552678682,73
ITUB4,201910,1,0.359625100287782,0.946105896654898,73
JBSS3,201910,1,0.36237381775089,0.908556153219281,73
LAME4,201910,1,0.281576256610526,0.743203641352302,73
LIGT3,201910,1,0.205062143965234,0.535943716560715,73
LREN3,201910,1,0.374163832346508,0.988970234150977,73
MGLU3,201910,1,0.243563825523645,0.6141935389216,73
NATU3,201910,1,0.211277397666764,0.520460689842963,73
OMGE3,201910,1,0.182688579532174,0.475789739180366,73
PCAR4,201910,1,0.162851143003164,0.38418784114955,73
PETR3,201910,1,0.343913644607066,0.891957910258879,73
PETR4,201910,1,0.379779904641372,1,73
PSSA3,201910,1,0.122761082030869,0.296855779039565,73
QUAL3,201910,1,0.201636857809602,0.481523484406791,73
RADL3,201910,1,0.314250965967147,0.830102125192627,73
RAIL3,201910,1,0.293699710853289,0.798271554093178,73
