ticker,ym,n_fundos,mean_peso,cv_peso,wmean_peso,cv_peso_ponderado
BEEF3,201910,645,0.0015373599819583,3.55161308657424,0.00100935285323733,3.76092008175127
SLCE3,201910,525,0.00102503091812518,4.05845237248353,0.000578835891256258,5.0110557415381
VULC3,201910,502,0.00274507549360977,5.7510828729255,0.00126018134565302,7.9855280105042
ODPV3,201910,570,0.00114011651915779,4.23214567471686,0.000790985875411659,4.12443023076133
PRIO3,201910,467,0.000692326109373443,5.25925975703583,0.000664103807484048,5.34181047416813
EVEN3,201910,694,0.00249255416994248,3.12615768943006,0.00189421148682091,2.77513689413927
TUPY3,201910,537,0.00248719090872896,4.37143845140699,0.0017642143329477,4.18766386881505
SEER3,201910,624,0.00161024888555884,1.87824048304813,0.00103279855266725,2.33057296088866
MOVI3,201910,549,0.000968102824952574,4.7501727576079,0.000790650697809971,4.35761761332277
ARZZ3,201910,796,0.0033985611744315,2.03762031504025,0.00303571592287778,1.83194252031688
ABCB4,201910,535,0.0010013219249217,4.1000055273811,0.000597555453374579,4.7127162691759
LEVE3,201910,471,0.00152457487738218,4.27430076590212,0.000619498006859367,5.88244314849489
GFSA3,201910,476,9.67616890457015e-05,6.48995925145452,5.72898417178876e-05,5.61951398506475
DMMO3,201910,412,6.49465528270208e-05,7.03576318281925,5.07773080728732e-05,6.07918016798593
DIRR3,201910,481,0.000739762163862025,6.09071238934568,0.000591192147993169,6.2984379337969
MILS3,201910,508,0.000768810208460256,6.08358710192707,0.000436549948143753,5.49289612192434
ANIM3,201910,613,0.00277702835553108,4.7320775802682,0.0020178623971864,4.21105326508579
CAML3,201910,541,0.000502406522158019,10.8238081188138,0.00025255007366721,10.2115654226974
VLID3,201910,448,0.000118494031579752,5.41288602619299,7.77426355630632e-05,5.57492532273978
ITSA3,201910,340,4.55580389090578e-05,6.65798109178305,3.78926805336261e-05,7.59266292483363
FJTA4,201910,403,4.20656080581946e-06,9.12921111801604,3.20004553224122e-06,9.62970663648421
AZEV4,201910,171,3.95951706446818e-11,2.21917494319856,9.90222977685536e-11,1.83864603337084
RADL3,201910,996,0.00575028118483381,2.32930076459617,0.00493451086139704,1.65512387921358
CSMG3,201910,699,0.00412188453923545,1.93221032743387,0.00532224070898386,1.3671244762389
LIGT3,201910,777,0.00588483036693723,2.04898565567859,0.00564601519704783,1.80803356022973
ITSA4,201910,1022,0.0147513449039931,1.30800664148543,0.013894673352114,1.31821046419278
SULA11,201910,968,0.00891581003926771,1.43104089479605,0.00989853534184789,1.38536904764374
ABEV3,201910,992,0.00834411835734535,1.74556904430652,0.00884973047130312,1.62905324328696
ALSO3,201910,731,0.0057713822962035,1.76581101238488,0.00604264490932733,1.59626370305592
TGMA3,201910,577,0.00218011311260291,3.4226086346123,0.00340090011902646,2.17283378782869
CPLE3,201910,415,0.00120514413809809,2.79249728830178,0.00338158910025449,1.70670524354007
GNDI3,201910,1031,0.00791535176021008,1.63289726518257,0.00767331911402108,1.62650984595968
CYRE3,201910,1006,0.00701572002827298,2.07038892395967,0.00782459605629646,1.6933761077739
VIVA3,201910,804,0.00480817763992592,1.78444081009587,0.00516000561687204,1.49015152367719
CEAB3,201910,775,0.00316047554549907,1.70446315741688,0.00376001443813928,1.50290434848021
PARD3,201910,571,0.00125026836564654,1.8465828436748,0.00213202669557172,1.56632806611949
BTOW3,201910,982,0.00309576457374145,2.22150154011249,0.00281072195236359,2.08401223945788
SUZB3,201910,1013,0.00499595400190804,1.56730515316584,0.00529893178729078,1.70225468175043
UGPA3,201910,927,0.00380917093444229,1.57603043488249,0.00469433695437034,1.64050632480185
LINX3,201910,731,0.00289855537607671,2.9474584554993,0.00337378149453051,2.24057886696584
EQTL3,201910,1089,0.0185659606010541,2.13607188439371,0.0192722848304463,1.76111272837787
KROT11,201911,233,0.00116079947438098,3.95571952955467,0.00123575229590417,3.91031442262613
BBAS3,201911,1146,0.019607240892868,1.21377376471152,0.0197329574028556,1.10906040118006
