ym,ret_mercado_ew,hhi_agregado,hhi_agregado_lag,vol_passada_mercado,vol_passada_mercado_lag,w_hhi,w_volpassada,ret_buyhold,ret_hhi_managed,ret_vol_managed
202501,-0.033382459212304,0.05533549899045,0.0539247664275295,0.049451327105072,0.0507613756957934,0.724210281584352,1.41989766749626,-0.033382459212304,-0.0241759201861208,-0.0473996759708394
202502,0.0552144444795695,0.05782032587712,0.05533549899045,0.0495153320546449,0.049451327105072,0.705747142274645,1.49612510549232,0.0552144444795695,0.0389674364037382,0.0826077165716958
202503,0.0591013697922273,0.0597538364719704,0.05782032587712,0.0410238332552984,0.0495153320546449,0.675417678583253,1.49225973623117,0.0591013697922273,0.0399181099861565,0.0881945944970499
202504,0.043539091235879,0.0607710485964797,0.0597538364719704,0.0382889999556955,0.0410238332552984,0.653562559069671,2.17395893486089,0.043539091235879,0.028455519887689,0.0946521964079627
202506,-0.0543222442797144,0.0685602066771676,0.0607710485964797,0.0430746250821266,0.0382889999556955,0.642622945971576,2.49560453322436,-0.0543222442797144,-0.0349087206508177,-0.135566839079376
202507,0.0482768235597442,0.0613197835407097,0.0685602066771676,0.0445887082754303,0.0430746250821266,0.569614243765943,1.97188144595443,0.0482768235597442,0.0274991663434055,0.0951961726470751
202509,0.0164038655413362,0.0661194326594402,0.0613197835407097,0.0417474236261601,0.0445887082754303,0.636872278796038,1.84023815292384,0.0164038655413362,0.0104471672283746,0.0301870192245996
202510,0.0407010473496833,0.0665174492487874,0.0661194326594402,0.0409265916723149,0.0417474236261601,0.590641339589229,2.09925141699796,0.0407010473496833,0.0240397211293016,0.0854417313221237
202512,0.07765538005115,0.0700469757028553,0.0665174492487874,0.0435464045634918,0.0409265916723149,0.587107153384471,2.18430186065955,0.07765538005115,0.04559202912682,0.169622791135951
202603,-0.0135085606744782,0.112115895260066,0.0700469757028553,0.0447328921539976,0.0435464045634918,0.557524002813724,1.92938637243157,-0.0135085606744782,-0.00753134681948714,-0.0260632328765032
202604,-0.0546394295220632,0.114583527905646,0.112115895260066,0.0468743204625194,0.0447328921539976,0.348325901409999,1.82839429266583,-0.0546394295220632,-0.0190323285408008,-0.0999024210926574
202606,-0.00809762765237562,0.19984778288072,0.114583527905646,0.0461358817736885,0.0468743204625194,0.340824470957203,1.66515184586353,-0.00809762765237562,-0.00275986966062934,-0.0134837796324689
202607,-0.0300980523585562,0.228218907033731,0.19984778288072,0.0458331584980826,0.0461358817736885,0.19541307747287,1.71888238809121,-0.0300980523585562,-0.00588155303732505,-0.0517350121149694
