setor,ym,valor_setor,n_fundos_setor,n_tickers_setor,aum_total_mes,share_setor,share_prev1,share_prev3,delta_share_1m,delta_share_3m
Bancos,202002,37743650984.2641,1391,27,318494156129.479,0.11850657306541,0.109126107750391,0.134116036662304,0.00938046531501849,-0.0156094635968946
Bancos,202003,33835865277.5994,1404,25,285182474982.678,0.118646369415423,0.11850657306541,0.132492643006597,0.000139796350013141,-0.0138462735911738
Bancos,202004,23926636094.4443,1413,25,204172537148.607,0.117188317432865,0.118646369415423,0.109126107750391,-0.00145805198255777,0.00806220968247386
Bancos,202005,23974563475.8586,1433,25,228072791871.752,0.105118033936024,0.117188317432865,0.11850657306541,-0.0120702834968409,-0.0133885391293855
Bancos,202006,26994859660.2341,1476,27,249404854213.553,0.108237106071399,0.105118033936024,0.118646369415423,0.00311907213537457,-0.0104092633440241
Bancos,202007,31557517338.8776,1500,28,283083166709.971,0.111477901373095,0.108237106071399,0.117188317432865,0.00324079530169653,-0.00571041605976976
Bancos,202008,29174286726.0003,1509,26,307767606232.894,0.094793234034915,0.111477901373095,0.105118033936024,-0.0166846673381803,-0.0103247999011092
Bancos,202009,27743921678.2753,1528,28,306678059731.494,0.0904659488930049,0.094793234034915,0.108237106071399,-0.00432728514191011,-0.0177711571783939
Bancos,202010,28412430523.8665,1542,27,295647634336.712,0.0961023435469388,0.0904659488930049,0.111477901373095,0.00563639465393384,-0.0153755578261566
Bancos,202011,30407950030.0307,1548,26,299801671876.546,0.101426886113405,0.0961023435469388,0.094793234034915,0.00532454256646583,0.00663365207848957
Bancos,202012,37519183601.4529,1608,25,338355791333.908,0.1108867782447,0.101426886113405,0.0904659488930049,0.00945989213129506,0.0204208293516947
Bancos,202101,39542383454.2296,1640,26,360822900221.747,0.109589450752512,0.1108867782447,0.0961023435469388,-0.00129732749218814,0.0134871072055728
Bancos,202102,41671756715.4172,1659,27,370861754009.869,0.112364664905048,0.109589450752512,0.101426886113405,0.00277521415253622,0.0109377787916431
Bancos,202103,41222036810.0135,1687,27,372866953779.464,0.110554277852133,0.112364664905048,0.1108867782447,-0.00181038705291427,-0.000332500392566187
Bancos,202104,44714200154.7976,1710,27,384788861134.105,0.116204507643515,0.110554277852133,0.109589450752512,0.00565022979138148,0.00661505689100343
Bancos,202105,45632904393.708,1725,26,406817654924.974,0.112170413061654,0.116204507643515,0.112364664905048,-0.00403409458186052,-0.000194251843393306
Bancos,202106,48094175869.1579,1742,28,411630272922.735,0.116838286765622,0.112170413061654,0.110554277852133,0.00466787370396771,0.00628400891348867
Bancos,202107,50073163426.0557,1789,28,425862992539.65,0.117580452641453,0.116838286765622,0.116204507643515,0.000742165875830605,0.00137594499793779
Bancos,202108,47643859714.8226,1806,27,401274376757.939,0.118731378015604,0.117580452641453,0.112170413061654,0.00115092537415101,0.00656096495394933
Bancos,202109,44937515574.4933,1819,28,393911169414.151,0.114080328418529,0.118731378015604,0.116838286765622,-0.00465104959707438,-0.00275795834709276
Bancos,202110,37983162894.8862,1845,27,353691039535.72,0.107390797755989,0.114080328418529,0.117580452641453,-0.00668953066253999,-0.0101896548854634
