piso_pct,min_peers,ponderado,h,n_treino,n_teste,r2_oos_pct,n_meses,spread_pp,t_fm,p_fm
0.6,5,FALSE,3,9530,6454,2.21576116051123,4,,,
0.6,5,TRUE,1,9592,7185,1.54055390124564,21,4.30591170798683,2.29778684662825,0.0324961185944871
0.6,5,TRUE,2,9563,6821,-1.23358011631498,20,1.16844927710282,0.709200843642673,0.486812083799378
0.6,5,TRUE,3,9530,6454,1.94894295128475,18,2.0353639821121,0.794534958157005,0.437836096770888
0.6,10,FALSE,1,9509,7072,1.72542850874645,1,,,
0.6,10,FALSE,2,9481,6711,-2.55824780323171,1,,,
0.6,10,FALSE,3,9450,6347,2.39310001073637,1,,,
0.6,10,TRUE,1,9509,7072,1.58784783035605,21,3.47707265834649,1.66589693187261,0.111320514084547
0.6,10,TRUE,2,9481,6711,-1.32201041874629,20,2.29181517699624,1.39228002877341,0.179920079416948
0.6,10,TRUE,3,9450,6347,2.08652454578873,18,2.66712183075033,0.96708306901623,0.34706031198217
0.7,3,FALSE,1,9597,7185,1.68835217134503,9,2.67214395275525,0.95495811442519,0.367560409444462
0.7,3,FALSE,2,9568,6821,-1.93396596477784,8,2.90983934181723,0.593992462050615,0.571205834443002
0.7,3,FALSE,3,9535,6454,2.23771791394747,8,-4.9349825174726,-3.73636637944405,0.0072974761019937
0.7,3,TRUE,1,9597,7185,1.54735907248775,22,4.01564926287906,3.2400142936621,0.00392146968645604
0.7,3,TRUE,2,9568,6821,-1.10170457627583,21,1.09540496133505,0.68847094984661,0.499065103707331
0.7,3,TRUE,3,9535,6454,1.95284048764601,19,1.26255645090654,0.524524454709608,0.606313885652034
0.7,5,FALSE,1,9592,7185,1.70650984684368,5,,,
0.7,5,FALSE,2,9563,6821,-1.92254129197891,4,,,
0.7,5,FALSE,3,9530,6454,2.18390730221276,4,,,
0.7,5,TRUE,1,9592,7185,1.56287292715178,21,4.44174519213321,2.49690703965418,0.0213742113517453
0.7,5,TRUE,2,9563,6821,-1.13824364624295,20,0.941172056202421,0.563681894520843,0.57956357285021
0.7,5,TRUE,3,9530,6454,1.92175808580441,18,1.97925341675496,0.775924082007025,0.448454681454944
0.7,10,FALSE,1,9509,7072,1.76923799801311,1,,,
0.7,10,FALSE,2,9481,6711,-2.1521502422537,1,,,
0.7,10,FALSE,3,9450,6347,2.38278784125636,1,,,
0.7,10,TRUE,1,9509,7072,1.59983804247598,21,3.64233460446052,1.81339841802071,0.0848061086149332
0.7,10,TRUE,2,9481,6711,-1.19088999129302,20,2.06455425842731,1.25038377548221,0.226340298711643
0.7,10,TRUE,3,9450,6347,2.06041456708678,18,2.59617228995101,0.943366548000802,0.358708345858664
0.75,3,FALSE,1,9597,7185,1.72166156061625,9,2.57399200650608,1.11589627850872,0.296860544286923
0.75,3,FALSE,2,9568,6821,-1.70956346540321,8,1.45858828965389,0.369384349205067,0.72276202313536
0.75,3,FALSE,3,9535,6454,2.19196488676808,8,-7.16729550939481,-2.68392372134207,0.0313604957447375
0.75,3,TRUE,1,9597,7185,1.53141138398503,22,3.88885616068157,3.18068409969208,0.00450064910294498
0.75,3,TRUE,2,9568,6821,-1.07187845759997,21,0.720228220079377,0.458739690932547,0.651367295565708
0.75,3,TRUE,3,9535,6454,1.92500147284151,19,1.24816821462078,0.521757079963548,0.608200667350535
0.75,5,FALSE,1,9592,7185,1.72123076159043,5,,,
0.75,5,FALSE,2,9563,6821,-1.75979688325498,4,,,
0.75,5,FALSE,3,9530,6454,2.14937550085417,4,,,
0.75,5,TRUE,1,9592,7185,1.54674251151331,21,4.45421996105394,2.50672391040224,0.020930732431438
0.75,5,TRUE,2,9563,6821,-1.09269123569169,20,0.840624061109394,0.511493249782646,0.614898877514708
0.75,5,TRUE,3,9530,6454,1.91026771545897,18,1.93185249565801,0.76085682853475,0.457167191755714
0.75,10,FALSE,1,9509,7072,1.7743155468079,1,,,
0.75,10,FALSE,2,9481,6711,-1.99096524126625,1,,,
0.75,10,FALSE,3,9450,6347,2.38857082782767,1,,,
0.75,10,TRUE,1,9509,7072,1.59126760675495,21,3.63603580814331,1.81337075762734,0.0848105164741231
0.75,10,TRUE,2,9481,6711,-1.16354908446716,20,1.96477308777541,1.20481141553524,0.243069221661441
0.75,10,TRUE,3,9450,6347,2.05515150668441,18,2.55773159428648,0.932620815248808,0.364073255404325
0.8,3,FALSE,1,9597,7185,1.74446680770269,10,2.76607235499288,0.881885712858037,0.400777931142102
0.8,3,FALSE,2,9568,6821,-1.52741246244714,9,1.70925038552239,0.492350103348869,0.635698133316628
0.8,3,FALSE,3,9535,6454,2.19198833577641,9,4.82195245874295,0.340695124215047,0.742107376634046
0.8,3,TRUE,1,9597,7185,1.52161369578707,22,3.79349021869324,3.09673480933292,0.00546396378956874
0.8,3,TRUE,2,9568,6821,-0.962436366773711,21,1.02242893759453,0.658003312891646,0.518038927725331
0.8,3,TRUE,3,9535,6454,1.91571859132648,19,0.785587312085601,0.401201699800792,0.692994433240758
0.8,5,FALSE,1,9592,7185,1.75325415964408,4,,,
0.8,5,FALSE,2,9563,6821,-1.75443880649979,3,,,
0.8,5,FALSE,3,9530,6454,2.1511741329056,3,,,
0.8,5,TRUE,1,9592,7185,1.53878054693933,21,4.41799761803199,2.47163399660499,0.0225567334719641
0.8,5,TRUE,2,9563,6821,-1.0570566679408,20,0.925807457531904,0.567634575867538,0.576929719370622
0.8,5,TRUE,3,9530,6454,1.90210994413446,18,2.05905839788942,0.827915929786128,0.419189556235687
0.8,10,FALSE,1,9509,7072,1.81259813595337,1,,,
0.8,10,FALSE,2,9481,6711,-1.94867231590365,1,,,
0.8,10,FALSE,3,9450,6347,2.39937349225881,1,,,
0.8,10,TRUE,1,9509,7072,1.5836212283181,21,3.38917007226956,1.67527057101724,0.109446581432839
0.8,10,TRUE,2,9481,6711,-1.13442698504971,20,2.05828830810575,1.25968671615732,0.223036883205915
0.8,10,TRUE,3,9450,6347,2.04847933581058,18,2.84161137001241,1.06869975510298,0.300145960751415
0.9,3,FALSE,1,9597,7185,1.76033071695605,12,0.337970910954135,0.116507528615588,0.909350210446573
0.9,3,FALSE,2,9568,6821,-1.11860604139062,11,-2.80958458095794,-1.31754591086317,0.217042740790024
0.9,3,FALSE,3,9535,6454,2.04395224417724,11,-0.241338015180752,-0.0646510826275103,0.94972596603252
0.9,3,TRUE,1,9597,7185,1.45675134203624,22,3.18407576122744,2.45226100108367,0.023027537776306
0.9,3,TRUE,2,9568,6821,-0.814488726959839,21,0.984359802947459,0.679564336806949,0.504570332763428
0.9,3,TRUE,3,9535,6454,1.82618117533608,19,1.63717405000508,0.807829025706128,0.429736138140787
0.9,5,FALSE,1,9592,7185,1.73523107332092,8,-4.25707390356527,-0.606798457600924,0.563139770821329
0.9,5,FALSE,2,9563,6821,-1.22414876687971,7,-7.47340684081827,-1.83232778768003,0.116611390970406
0.9,5,FALSE,3,9530,6454,2.06576781028988,7,7.0484768037446,1.15064538523417,0.293662027671332
0.9,5,TRUE,1,9592,7185,1.459259182937,21,3.69913296484594,1.94663422373768,0.06576214233876
0.9,5,TRUE,2,9563,6821,-0.863665990223939,20,0.877759506843792,0.56752406031267,0.577003278071542
0.9,5,TRUE,3,9530,6454,1.85264646970965,18,2.47760859172808,1.01812430250974,0.322890566814213
0.9,10,FALSE,1,9509,7072,1.79771772366966,6,-4.76200359048019,-0.505923697993475,0.634420482221584
0.9,10,FALSE,2,9481,6711,-1.4611078148524,5,,,
0.9,10,FALSE,3,9450,6347,2.25875655195159,5,,,
0.9,10,TRUE,1,9509,7072,1.51870433323305,21,2.92525240379115,1.42277973229897,0.170211331080762
0.9,10,TRUE,2,9481,6711,-0.99809222050351,20,1.87571637729059,1.17861890824653,0.253100380061231
0.9,10,TRUE,3,9450,6347,2.00069441328382,18,3.23077293521969,1.24803391926635,0.228935577349616
