ticker,ym,deg_raw,deg_avg,eigen_cent,n_tickers_mes,deg_avg_delta,eigen_cent_delta
UNIP6,201809,9.43431921334502,0.0338147642055377,0.0560775029801085,280,-0.000588205881361339,-0.0138122917840329
UNIP6,201810,11.6688072774075,0.0421256580411823,0.0937165264356674,278,0.00831089383564453,0.0376390234555589
UNIP6,201811,12.3712768734753,0.0446616493627268,0.0948105197562769,278,0.00253599132154458,0.0010939933206095
UNIP6,201812,12.8816201279748,0.0463367630502691,0.095664991549541,279,0.00167511368754228,0.000854471793264103
UNIP6,201901,12.1491491565149,0.0438597442473463,0.088385153274144,278,-0.00247701880292279,-0.00727983827539704
UNIP6,201902,13.9704374965946,0.0508015908967075,0.0898458109962727,276,0.00694184664936114,0.00146065772212874
UNIP6,201903,15.4167366735223,0.0558577415707329,0.0878992172091548,277,0.00505615067402544,-0.00194659378711788
UNIP6,201904,15.1032386514128,0.0539401380407599,0.0911003608177522,281,-0.00191760352997305,0.00320114360859734
UNIP6,201905,10.5737765804966,0.0378988407903105,0.0638737296009063,280,-0.0160412972504493,-0.0272266312168459
UNIP6,201906,11.5284655505198,0.0430166625019396,0.0731388622419214,269,0.0051178217116291,0.0092651326410151
UNIP6,201907,11.0826393323905,0.0405957484702949,0.0959890647965493,274,-0.00242091403164476,0.0228502025546279
UNIP6,201908,20.1581015348199,0.0749371804268398,0.206278936855076,270,0.0343414319565449,0.110289872058527
UNIP6,201909,18.1453814102993,0.0689938456665371,0.195588762278659,264,-0.00594333476030268,-0.0106901745764174
UNIP6,201910,15.3594738756456,0.0584010413522648,0.168358127527151,264,-0.0105928043142723,-0.0272306347515076
UNIP6,201911,16.528174815704,0.0623704710026566,0.200908534492606,266,0.00396942965039173,0.0325504069654544
UNIP6,201912,17.3776266890049,0.0636543102161352,0.221356608742204,274,0.00128383921347861,0.0204480742495988
UNIP6,202001,24.5777427266708,0.0906927775891913,0.342682472144687,272,0.0270384673730561,0.121325863402483
UNIP6,202002,27.8571540611085,0.0998464303265539,0.499405840715714,280,0.00915365273736257,0.156723368571027
UNIP6,202003,29.1180553029718,0.104741206125798,0.548044981501784,279,0.00489477579924405,0.0486391407860702
UNIP6,202004,23.9973050476857,0.087902216291889,0.387022277685077,274,-0.0168389898339089,-0.161022703816707
UNIP6,202005,21.6749401415011,0.0796872799319895,0.343932624108864,273,-0.00821493635989955,-0.0430896535762134
UNIP6,202006,19.6984028003451,0.0711133675102712,0.332685833954767,278,-0.00857391242171822,-0.0112467901540971
UNIP6,202007,20.1497793626262,0.0727428857856543,0.293315122926745,278,0.00162951827538307,-0.0393707110280221
UNIP6,202008,21.1269795438097,0.0768253801593081,0.245845960081773,276,0.00408249437365379,-0.0474691628449717
