ticker,ym,peer_ret,n_peers
MLFT4,201702,0.0570228657933149,56
MMXM3,201702,0.0223383128989645,50
MOVI3,201702,0.07615904027954,56
MPLU3,201702,0.0811743339667134,56
MRFG3,201702,0.0542346521876182,56
MRVE3,201702,0.0490496117483786,56
MULT3,201702,0.0444776890410961,56
MYPK3,201702,0.0743639890804631,54
NATU3,201702,0.0490568337490897,56
ODPV3,201702,0.0826161741065614,56
OFSA3,201702,0.0501094665916857,55
OGXP3,201702,0.0114800820139199,50
OIBR3,201702,0.0577919037216287,54
OIBR4,201702,0.0411780968939477,55
OSXB3,201702,0.0507824874269338,50
PARC3,201702,0.0779466918826629,56
PARD3,201702,0.0514871524721852,57
PCAR4,201702,0.0419296416485511,57
PDGR3,201702,0.0840350032503074,50
PETR3,201702,0.0433650082655245,56
PETR4,201702,0.0402019674056414,57
PFRM3,201702,0.135699278740169,55
PINE4,201702,0.0410359305954268,43
PMAM3,201702,0.0225722312264321,51
PNVL3,201702,0.0562875877419252,43
PNVL4,201702,0.0633963643139268,56
POMO3,201702,0.0117100480226914,52
POMO4,201702,0.0715524816609114,54
PRIO3,201702,0.0362994176804309,57
PRML3,201702,0.0277782975538369,54
PSSA3,201702,0.0782906799344769,56
PTBL3,201702,0.0895251429960248,49
QGEP3,201702,0.0731130653530853,56
QUAL3,201702,0.0558840806564262,56
RADL3,201702,0.0422283107167787,56
RAPT3,201702,0.040403590976252,53
RAPT4,201702,0.0433461374632678,56
RDNI3,201702,0.0944767197966719,53
REDE3,201702,0.0471211781180247,49
REDE4,201702,0.0452255908465345,49
RENT3,201702,0.0399076453528321,56
RLOG3,201702,0.0533382512476034,56
RNEW11,201702,0.00412416655271829,33
RNEW3,201702,-0.146923073170991,33
RPAD3,201702,0.0505213953065207,52
RSID3,201702,0.0513642598865893,50
RUMO3,201702,0.0527680784593227,56
SANB11,201702,0.0354519371069417,56
SANB3,201702,0.0351841141896941,51
SANB4,201702,0.0510878880093656,53
SAPR4,201702,0.0450970908304368,56
SBSP3,201702,0.0618719137015724,56
SCAR3,201702,0.0478903272246765,51
SEDU3,201702,0.107410819554614,43
SEER3,201702,0.0541114538971,56
SGAS4,201702,-0.0382160622590053,5
SGPS3,201702,0.0450234217047573,43
SHOW3,201702,0.0534424520298906,54
SLCE3,201702,0.0469731645077298,56
SLED4,201702,0.0399751805817112,50
SMLE3,201702,0.0661198642318484,56
SMTO3,201702,0.0855539204466576,56
SNSL3,201702,0.0511262147606528,43
SSBR3,201702,0.0717781584216802,56
STBP3,201702,0.0480555573641462,57
SULA11,201702,0.0751655417339541,56
SUZB5,201702,0.078535626696882,56
TAEE11,201702,0.0473818573424815,57
TCSA3,201702,0.0777027200549407,56
TECN3,201702,0.0440312238558309,56
TESA3,201702,0.0115746926733786,55
TGMA3,201702,0.0693437861856439,56
TIET11,201702,0.0598156460698959,59
TIET3,201702,0.0442891812959428,50
TIET4,201702,0.0445877297322367,55
TIMP3,201702,0.0857471694698486,56
TOTS3,201702,0.0767712007437942,56
TPIS3,201702,0.101813212087593,45
TRIS3,201702,0.0313066812280001,43
TRPL4,201702,0.0837084933954233,56
TUPY3,201702,0.0428385750225762,57
UGPA3,201702,0.0384406973702219,56
UNIP3,201702,0.0469275514568755,52
UNIP6,201702,0.0417038199239759,43
USIM3,201702,0.0398652371012269,55
USIM5,201702,0.0426279719885572,56
VALE3,201702,0.0506112313384502,56
VALE5,201702,0.0434787100285473,56
VIVT3,201702,0.0511518873736711,56
VIVT4,201702,0.0390576104043385,57
VLID3,201702,0.0697964538620834,56
VVAR11,201702,0.067980507540633,55
WEGE3,201702,0.0716081547642239,56
AALR3,201703,-0.00602395912212733,52
ABCB4,201703,0.00100178923549471,52
ABEV3,201703,-0.0178521068579388,54
ALPA3,201703,-0.0241842127426962,49
ALPA4,201703,-0.0174596971655476,52
ALSC3,201703,-0.0170269293584804,52
ALUP11,201703,-0.00895485935449974,53
