ticker,ym,n_fundos,n_fundos_com_churn,frag_laum_medio,frag_flow_medio,frag_cotistas_medio,frag_exit_rate_medio
ENJU3,202301,6335,0,19.7471745891301,-0.0160130632279045,2.97674815307414,
ENEV3,202301,8845,0,20.3976452259199,-0.013367197614787,3.00007222240638,
ELET3,202301,14025,0,20.5982845309351,-0.0124892706483377,2.51827068242062,
EGIE3,202301,2489,0,20.2497215999809,-0.0188920605510281,2.84322203692566,
CPFE3,202301,6797,0,19.9217267813896,-0.0173729666034805,3.23977736883223,
CLSA3,202301,3993,0,19.9500580958394,-0.0133159856510797,2.78441885964328,
BBAS3,202301,16366,0,20.1908370774066,-0.013260825933945,3.23975580350411,
AURE3,202301,8263,0,20.0946935183962,-0.0126515193449393,3.06350386147023,
ITUB4,202301,9611,0,20.2129669205172,-0.0168245897590035,3.11014770830308,
GOAU4,202301,14283,0,20.2126740132266,-0.0121553093036556,3.34703384540522,
EUCA4,202301,3037,0,19.5727461039393,-0.00363909715344577,4.09207581322955,
IGTI11,202301,4572,0,19.7543723149941,-0.0117160378118488,3.51141984913145,
STBP3,202302,6955,6894,20.7053884721969,-0.0144721520308502,2.60443393023606,0.0513464104193313
VIVA3,202302,8520,8443,20.1651315658512,-0.0186739304960604,3.02251378813674,0.108195473281383
SOMA3,202302,9646,9555,20.4138158192831,-0.0213805275101219,2.91385012348041,0.0821230459236477
SLCE3,202302,8046,7968,20.0922682620397,-0.0315207752240203,3.33814102268197,0.0855369169950486
RENT3,202302,9211,9126,20.3146845239402,-0.0309625330600977,2.84680483977035,0.0663513977357901
OPCT3,202302,1807,1795,19.0256179872664,-0.0257884416469662,2.81611143741159,0.0603557606217719
GMAT3,202302,7535,7465,20.683196889616,-0.0196951204731749,3.00131116264587,0.0708476089237074
GGPS3,202302,7748,7673,20.1950934853573,-0.0204146352893987,2.8301822062505,0.0674279183875956
EQTL3,202302,10435,10317,20.5177259925004,-0.0198804205139789,2.84402878264118,0.0674424289707568
CVCB3,202302,1777,1757,21.0616749557645,-0.00417890507392377,1.91799362585506,0.0176189230602228
