ticker,ym,hhi_posse,n_fundos,hhi_prev1,hhi_prev3,hhi_prev6,delta_hhi_1m,delta_hhi_3m,delta_hhi_6m,delta_hhi_3m_pct,delta_hhi_6m_pct
ABCB4,201806,0.0474887751012523,450,0.0510892218398225,0.0573846902183134,0.0428982340377004,-0.00360044673857018,-0.00989591511706112,0.00459054106355191,-0.172448698065865,0.107010024224251
ABCB4,201807,0.0462751583753833,449,0.0474887751012523,0.0506417009462925,0.0386189359072059,-0.00121361672586904,-0.00436654257090918,0.00765622246817734,-0.0862242477901774,0.198250477086521
ABCB4,201808,0.0482228036118647,433,0.0462751583753833,0.0510892218398225,0.0489991731347621,0.00194764523648142,-0.00286641822795779,-0.000776369522897377,-0.0561061242417184,-0.0158445433510099
ABCB4,201809,0.0521031738576941,434,0.0482228036118647,0.0474887751012523,0.0573846902183134,0.00388037024582936,0.00461439875644174,-0.00528151636061938,0.0971681991502884,-0.0920370283524484
ABCB4,201810,0.0472400487798975,476,0.0521031738576941,0.0462751583753833,0.0506417009462925,-0.00486312507779652,0.000964890404514265,-0.00340165216639492,0.0208511529379779,-0.0671709698298346
ABCB4,201811,0.0452786400990421,458,0.0472400487798975,0.0482228036118647,0.0510892218398225,-0.00196140868085541,-0.00294416351282257,-0.00581058174078036,-0.0610533459754752,-0.113734003602521
ABCB4,201812,0.0619354220545539,445,0.0452786400990421,0.0521031738576941,0.0474887751012523,0.0166567819555118,0.00983224819685983,0.0144466469533016,0.188707279593255,0.30421182526817
ABCB4,201901,0.0398061435588235,527,0.0619354220545539,0.0472400487798975,0.0462751583753833,-0.0221292784957304,-0.00743390522107409,-0.00646901481655982,-0.157364469620055,-0.139794547305128
ABCB4,201902,0.0434389211614625,522,0.0398061435588235,0.0452786400990421,0.0482228036118647,0.003632777602639,-0.00183971893757968,-0.00478388245040225,-0.0406310554724146,-0.0992037395607837
ABCB4,201903,0.0437128755986943,486,0.0434389211614625,0.0619354220545539,0.0521031738576941,0.000273954437231862,-0.0182225464558596,-0.00839029825899974,-0.294218491638094,-0.161032383207895
ABCB4,201904,0.0508523003591705,483,0.0437128755986943,0.0398061435588235,0.0472400487798975,0.00713942476047619,0.011046156800347,0.00361225157927296,0.27749879322079,0.0764658731853408
ABCB4,201905,0.0501263682469861,455,0.0508523003591705,0.0434389211614625,0.0452786400990421,-0.000725932112184413,0.00668744708552364,0.00484772814794396,0.153950579496816,0.107064349488856
ABCB4,201906,0.0456597198778038,489,0.0501263682469861,0.0437128755986943,0.0619354220545539,-0.00446664836918229,0.00194684427910949,-0.0162757021767501,0.044537090100923,-0.262785037008614
ABCB4,201907,0.0418224801406494,535,0.0456597198778038,0.0508523003591705,0.0398061435588235,-0.00383723973715437,-0.00902982021852107,0.00201633658182598,-0.177569552502902,0.0506539041855773
ABCB4,201908,0.0344898930036564,575,0.0418224801406494,0.0501263682469861,0.0434389211614625,-0.00733258713699304,-0.0156364752433297,-0.00894902815780607,-0.311941115827195,-0.206014051880859
ABCB4,201909,0.033975074206545,553,0.0344898930036564,0.0456597198778038,0.0437128755986943,-0.000514818797111384,-0.0116846456712588,-0.00973780139214931,-0.25590708183339,-0.222767348493545
ABCB4,201910,0.0405533886452251,536,0.033975074206545,0.0418224801406494,0.0508523003591705,0.00657831443868007,-0.00126909149542436,-0.0102989117139454,-0.0303447210963193,-0.202525975053323
ABCB4,201911,0.0457253589404664,489,0.0405533886452251,0.0344898930036564,0.0501263682469861,0.00517197029524132,0.01123546593681,-0.0044010093065197,0.325761113135923,-0.0877982878160003
ABCB4,201912,0.0376509381726513,509,0.0457253589404664,0.033975074206545,0.0456597198778038,-0.0080744207678151,0.00367586396610628,-0.00800878170515252,0.108192963575578,-0.175401463841344
ABCB4,202001,0.0371561516036875,689,0.0376509381726513,0.0405533886452251,0.0418224801406494,-0.000494786568963748,-0.00339723704153754,-0.0046663285369619,-0.0837719646872849,-0.111574648879478
