ticker,ym,peer_ret,n_peers
GOAU4,201702,0.0327828521628928,51
GOLL4,201702,0.073749583193269,49
GPCP3,201702,0.080133636992747,22
GRND3,201702,0.0697388605052548,48
GSHP3,201702,0.0311909379437136,5
GUAR3,201702,0.0403833915881451,44
GUAR4,201702,0.0644560568616825,47
HBOR3,201702,0.10934117154634,42
HGTX3,201702,0.030793482715067,46
HYPE3,201702,0.0391823167381476,48
IDNT3,201702,0.0414659738750951,37
IGTA3,201702,0.0495374902001397,52
INEP3,201702,0.0853350954498789,5
INEP4,201702,0.0922548879716499,5
ITSA3,201702,0.0457283673489881,45
ITSA4,201702,0.0260800561186615,50
ITUB3,201702,0.0665126320626431,50
ITUB4,201702,0.0283356310734768,50
JBSS3,201702,0.0263660855575905,47
JSLG3,201702,0.0174847009511722,40
KLBN11,201702,0.0549071091456701,48
KROT3,201702,0.0331806194685607,48
LAME3,201702,0.0279315412121542,43
LAME4,201702,0.0556879173590765,45
LEVE3,201702,0.0490123028185935,49
LIGT3,201702,0.0714841457247446,53
LINX3,201702,0.0667549219372136,50
LLISE3,201702,0.026968044817672,35
LOGN3,201702,0.0461490294740105,30
LPSB3,201702,0.047972455689778,40
LREN3,201702,0.0279469468537162,48
LUPA3,201702,0.102268009759898,8
MAGG3,201702,0.0515777527940774,45
MDIA3,201702,0.069620609068691,46
MEAL3,201702,0.0332713934276292,46
MGLU3,201702,0.0655346885446542,46
MILS3,201702,0.0543581835417006,49
MLFT4,201702,0.0813768591781591,42
MOVI3,201702,0.028075392715646,43
MPLU3,201702,0.0646558743557593,45
MRFG3,201702,0.0683028441990703,50
MRVE3,201702,0.0567262762272835,52
MULT3,201702,0.0458330174877182,49
MYPK3,201702,0.0424475727898227,51
NATU3,201702,0.0239000525568409,48
ODPV3,201702,0.0519685781837447,46
OFSA3,201702,0.0671808865429936,41
OIBR3,201702,0.0607855716375391,40
OIBR4,201702,0.120568115167565,29
PARC3,201702,0.0613783864723217,50
PARD3,201702,0.0613239765712853,47
PCAR4,201702,0.0301885518256767,47
PDGR3,201702,0.108488311874317,24
PETR3,201702,0.0274092621720394,48
PETR4,201702,0.0299671012500094,53
PFRM3,201702,0.0655280298787249,35
PMAM3,201702,0.0657837494051791,44
PNVL3,201702,0.0325950259223566,17
PNVL4,201702,0.0626332935309431,42
POMO3,201702,0.105935397701805,39
POMO4,201702,0.0982365674656378,47
PRML3,201702,0.0474192661653858,36
PSSA3,201702,0.0623817942072363,46
PTBL3,201702,0.037042779967343,36
QGEP3,201702,0.0584799201769583,50
QUAL3,201702,0.0492548525945857,51
RADL3,201702,0.04022213098616,47
RAPT3,201702,0.0611752945824529,37
RAPT4,201702,0.100097622464661,47
RDNI3,201702,0.0489215235525095,25
REDE3,201702,0.0436636266137703,32
REDE4,201702,0.0390364761828959,32
RENT3,201702,0.0370825078008369,48
RLOG3,201702,0.063033739909816,49
RNEW11,201702,0.052155809649727,35
RSID3,201702,0.0801422975080339,42
RUMO3,201702,0.0516871051700456,48
SANB11,201702,0.072966217404256,46
SANB4,201702,0.101010444617718,34
SAPR4,201702,0.0515397160394417,51
SBSP3,201702,0.0474607473862866,49
SCAR3,201702,0.0832089132249024,44
SEDU3,201702,0.0789030913480787,35
SEER3,201702,0.0641482175686287,51
SGPS3,201702,0.15070908036708,11
SLCE3,201702,0.114515677934907,46
SLED4,201702,0.104071087438071,11
SMLE3,201702,0.0864637726942811,51
SMTO3,201702,0.0538379643676507,50
SNSL3,201702,0.152723500053407,27
SSBR3,201702,0.0850962144284545,39
STBP3,201702,0.072865350095213,46
SULA11,201702,0.0991371132203724,50
SUZB5,201702,0.0312842209399946,49
TAEE11,201702,0.0504725498181159,51
TCSA3,201702,0.0526986625223261,50
TECN3,201702,0.0683330271294808,45
TESA3,201702,0.0712373750046174,36
TGMA3,201702,0.0725283263134493,45
TIET11,201702,0.0403402215416251,48
TIET3,201702,0.127335601458657,27
TIET4,201702,0.0393344839431604,37
TIMP3,201702,0.0541351807765871,48
TOTS3,201702,0.077567314825075,46
TPIS3,201702,0.0740056481827372,15
TRIS3,201702,0.0855733064614903,5
TRPL4,201702,0.0426508906510298,51
TUPY3,201702,0.032768368639874,49
UCAS3,201702,0.0297573065018339,25
UGPA3,201702,0.0219532428926933,48
UNIP6,201702,0.0667772046131911,22
USIM3,201702,0.035100785205876,41
USIM5,201702,0.0446332253651018,48
VALE3,201702,0.0262134642770355,50
VALE5,201702,0.0249993845467772,52
VIVT3,201702,0.0474177292204236,42
VIVT4,201702,0.0541335519310726,47
VLID3,201702,0.0420046300489674,49
VULC3,201702,0.0656563946504079,22
VVAR11,201702,0.090257500509516,46
WEGE3,201702,0.034000524343423,49
AALR3,201703,-0.00357012242741638,46
ABCB4,201703,-0.0266624550552587,46
ABEV3,201703,-0.0134296619967421,45
AGRO3,201703,-0.0387073648602072,35
ALPA3,201703,0.00433180800974249,33
ALPA4,201703,-0.0108567584077354,50
ALSC3,201703,0.00658307334827745,50
ALUP11,201703,0.00859883294941171,50
ALUP3,201703,-0.0407179006364491,36
ALUP4,201703,-0.042292412037417,36
AMAR3,201703,0.0169913593429821,46
