ticker,hhi_posse,n_fundos,ret_evento,ret_pos3,n_meses_pos3,vol_pos6,n_meses_pos6,evento,mes_evento_num
QGEP3,0.0784408031379198,521,-0.089622641509434,0.302245250431778,3,0.0764640748284009,6,Joesley Day (mai/2017),201705
QUAL3,0.0243238578977472,830,0.267438895489534,0.243754525306494,3,0.102936705958192,6,Joesley Day (mai/2017),201705
RADL3,0.014856168452447,823,0.067457417129597,-0.0348274603991923,3,0.0592485461389528,6,Joesley Day (mai/2017),201705
RAIL3,0.0250669610560317,883,-0.028636665115291,0.218160280048633,3,0.0841932707484774,6,Joesley Day (mai/2017),201705
RAPT3,0.135811913652921,239,0.0126182905009888,0.541046180301612,3,0.145705170724723,6,Joesley Day (mai/2017),201705
RAPT4,0.0379141828576978,525,0.0148935832576482,0.349233197688536,3,0.112418455099399,6,Joesley Day (mai/2017),201705
RDNI3,0.231077662472203,219,-0.122657580919932,-0.0485436893203881,3,0.124978908217902,6,Joesley Day (mai/2017),201705
REDE3,0.365489341897947,58,0.0159762334303011,-0.139999680204379,3,0.0747545347094788,6,Joesley Day (mai/2017),201705
RENT3,0.0176803908795571,851,-0.0347990657018097,0.374992429880162,3,0.0753842712114936,6,Joesley Day (mai/2017),201705
RLOG3,0.0946603645515207,473,-0.0196969696969697,0.241112828438949,3,0.0655500033864218,6,Joesley Day (mai/2017),201705
ROMI3,0.163415714298842,143,0.112676305535845,0.36962093237696,3,0.12773353976029,6,Joesley Day (mai/2017),201705
RPAD3,0.138168175493564,136,0.0954356319850318,-0.0907690068494391,3,0.104367916496341,6,Joesley Day (mai/2017),201705
RSID3,0.367659037356819,34,0.139682477930388,-0.0181057995420371,3,0.0489865409568179,6,Joesley Day (mai/2017),201705
SANB11,0.0234172091177389,792,-0.0674430551100632,0.108022468743202,3,0.0451500466649995,6,Joesley Day (mai/2017),201705
SANB4,0.106597473282846,382,-0.079457942574952,0.128955729108343,3,0.0552288230683685,6,Joesley Day (mai/2017),201705
SAPR4,0.0316343338818482,763,0.0165368070701084,0.0298976923751864,3,0.0265847581200831,6,Joesley Day (mai/2017),201705
SBSP3,0.0204157302756002,877,-0.0092244554287324,0.108620542183941,3,0.0802536470951685,6,Joesley Day (mai/2017),201705
SCAR3,0.0894207336355828,46,-0.055323177236953,0.178019113894316,3,0.0818612155176217,6,Joesley Day (mai/2017),201705
SEDU3,0.202193102893124,25,0.122848200312989,0.0836236933797911,3,0.086215143735531,6,Joesley Day (mai/2017),201705
SEER3,0.0422195429583173,612,-0.017958939487706,0.213216888193308,3,0.0737594611825069,6,Joesley Day (mai/2017),201705
SGPS3,0.161659343474025,18,0.142697881828316,0.0429268292682923,3,0.130490979407272,6,Joesley Day (mai/2017),201705
SHOW3,0.475439070535751,39,0.0286167861994151,0.0463679116710818,3,0.148433896791575,6,Joesley Day (mai/2017),201705
SLCE3,0.0855463131235293,447,0.0290816596793246,0.100644558053586,3,0.0465288971936175,6,Joesley Day (mai/2017),201705
SLED4,0.583978045503942,11,-0.162790707492296,-0.0384616044028503,3,0.0402112764671678,6,Joesley Day (mai/2017),201705
SMLE3,0.0301802260728795,833,-0.0874855156431056,0.103333333333334,3,0.0811155319343816,5,Joesley Day (mai/2017),201705
SMTO3,0.0340406674969824,720,0.0112358745692769,-0.0149469153844058,3,0.0445349095353554,6,Joesley Day (mai/2017),201705
SNSL3,0.149939302769731,27,0.0550996483001174,0.353333333333333,3,0.107190277853069,6,Joesley Day (mai/2017),201705
SSBR3,0.235021702031942,376,-0.0710004610419549,0.220843672456576,3,0.138888055189937,6,Joesley Day (mai/2017),201705
STBP3,0.030339219413322,400,-0.170212765957447,0.487179487179488,3,0.154191947819262,6,Joesley Day (mai/2017),201705
SULA11,0.0254781942104903,527,0.0631328171530674,0.0072829131652663,3,0.012463064271347,6,Joesley Day (mai/2017),201705
